"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-07T19:02:14.169+01:00[Europe/London]","0.0","14.81"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-07T19:02:29.040+01:00[Europe/London]","0.0","0.17"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-07T19:02:29.212+01:00[Europe/London]","0.0","0.17"
"Categories CRUD test","Delete the Category by ID","SUCCESS","2022-06-07T19:02:29.384+01:00[Europe/London]","0.0","0.41"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-07T19:02:33.091+01:00[Europe/London]","0.0","0.17"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-07T19:02:33.263+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Update the product information","SUCCESS","2022-06-07T19:02:33.341+01:00[Europe/London]","0.0","0.13"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-07T19:02:33.466+01:00[Europe/London]","0.0","0.11"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-07T19:02:33.857+01:00[Europe/London]","0.0","0.16"
"Services CRUD test","Verify if the Services was added to the application","SUCCESS","2022-06-07T19:02:34.013+01:00[Europe/London]","0.0","0.05"
"Services CRUD test","Update the Services information","SUCCESS","2022-06-07T19:02:34.060+01:00[Europe/London]","0.0","0.09"
"Services CRUD test","Delete the Services by ID","SUCCESS","2022-06-07T19:02:34.154+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","This will create a new store","SUCCESS","2022-06-07T19:02:34.451+01:00[Europe/London]","0.0","0.17"
"Stores CRUD test","Verify if the Store was added to the application","SUCCESS","2022-06-07T19:02:34.623+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","Update the store information","SUCCESS","2022-06-07T19:02:34.685+01:00[Europe/London]","0.0","0.19"
"Stores CRUD test","Delete the product by ID","SUCCESS","2022-06-07T19:02:34.873+01:00[Europe/London]","0.0","0.06"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-07T19:02:35.107+01:00[Europe/London]","0.0","0.08"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-07T19:02:35.185+01:00[Europe/London]","0.0","1.27"
